Description,Category
Deposit from 360 Savings XXXXXXX2620,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Monthly Interest Paid,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from VENMO CASHOUT,Income
Zelle money sent to TERRANCE WILLIAMS,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from HSA BANK PLAN DISTR ERIC ZACHARIA,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Birthday - Check Deposit (Mobile),Income
Monthly Interest Paid,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from GOOGLE DIRECT DEP,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",Transfer
Withdrawal to CD XXXXXXX3423,Transfer
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from Charlies Checking Account XXXXXXX1111,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from CHASE CREDIT CRD EPAY,Income
Zelle money received from NADJI TOUAHRIA,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Zelle money received from NADJI TOUAHRIA,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Law Order - Check Deposit (Mobile),Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Zelle money sent to Azhari Hamza,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Deposit from VENMO CASHOUT,Income
Monthly Interest Paid,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Deposit from VENMO CASHOUT,Income
Monthly Interest Paid,Income
Monthly Interest Paid,Income
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Zelle money sent to Azhari Hamza,P2P Expense
Deposit from HSA BANK PLAN DISTR ERIC ZACHARIA,Income
Law Order - Check Deposit (Mobile),Income
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from 360 Checking XXXXXXX2222,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
"ATM Withdrawal - PAI ISO TN93545 MACKINAC ISLA, MI",Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from HSA BANK PLAN DISTR ERIC ZACHARIA,Income
Deposit from NETFLIX PAY 456462,Income
Law Order - Check Deposit (Mobile),Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal to CD XXXXXXX3423,Transfer
Birthday - Check Deposit (Mobile),Income
Deposit from VENMO CASHOUT,Income
Monthly Interest Paid,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from GOOGLE DIRECT DEP,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from GOOGLE DIRECT DEP,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from VENMO CASHOUT,Income
Deposit from Megans Checking Account XXXXXXX2222,Income
Birthday - Check Deposit (Mobile),Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",Transfer
Deposit from NETFLIX PAY 543414,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from NETFLIX PAY 543414,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Monthly Interest Paid,Income
Law Order - Check Deposit (Mobile),Income
Deposit from 360 Checking XXXXXXX2222,Income
Deposit from 360 Savings XXXXXXX2620,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from NETFLIX PAY 456462,Income
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Monthly Interest Paid,Income
Deposit from NETFLIX PAY 543414,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Deposit from NETFLIX PAY 543414,Income
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Deposit from GOOGLE DIRECT DEP,Income
Deposit from GOOGLE DIRECT DEP,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Monthly Interest Paid,Income
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from Megans Checking Account XXXXXXX2222,Income
Zelle money sent to TERRANCE WILLIAMS,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from GOOGLE DIRECT DEP,Income
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from 360 Checking XXXXXXX2222,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",Transfer
Deposit from VENMO CASHOUT,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Monthly Interest Paid,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Law Order - Check Deposit (Mobile),Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Check Deposit (Mobile),Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Monthly Interest Paid,Income
Withdrawal to CD XXXXXXX3423,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from NETFLIX PAY 543414,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Check Deposit (Mobile),Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Monthly Interest Paid,Income
Deposit from Charlies Checking Account XXXXXXX1111,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Deposit from NETFLIX ACH Single,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Zelle money received from NADJI TOUAHRIA,P2P Expense
Withdrawal to CD XXXXXXX3423,Transfer
Monthly Interest Paid,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Zelle money sent to TERRANCE WILLIAMS,P2P Expense
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Deposit from NETFLIX ACH Single,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CHASE CREDIT CRD EPAY,Income
Deposit from 360 Savings XXXXXXX2620,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Deposit from NETFLIX PAY 543414,Income
Birthday - Check Deposit (Mobile),Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from Charlies Checking Account XXXXXXX1111,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from NETFLIX ACH Single,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from 360 Savings XXXXXXX2620,Income
Deposit from HSA BANK PLAN DISTR ERIC ZACHARIA,Income
Deposit from NETFLIX PAY 543414,Income
Zelle money sent to Azhari Hamza,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from VENMO CASHOUT,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Zelle money sent to Azhari Hamza,P2P Expense
Zelle money received from NADJI TOUAHRIA,P2P Expense
Zelle money sent to Azhari Hamza,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from VENMO CASHOUT,Income
Deposit from VENMO CASHOUT,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from Charlies Checking Account XXXXXXX1111,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from 360 Checking XXXXXXX2222,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Zelle money sent to Azhari Hamza,P2P Expense
"ATM Withdrawal - WALGREENS #1-A03 WA039659 ORLEANS, MA",Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from NETFLIX PAY 543414,Income
"ATM Withdrawal - PAI ISO TN93545 MACKINAC ISLA, MI",Transfer
Monthly Interest Paid,Income
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Deposit from Charlies Checking Account XXXXXXX1111,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Deposit from 360 Savings XXXXXXX2620,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from 360 Checking XXXXXXX2222,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
"ATM Withdrawal - PAI ISO TN93545 MACKINAC ISLA, MI",Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Check Deposit (Mobile),Income
Deposit from VENMO CASHOUT,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from 360 Savings XXXXXXX2620,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from NETFLIX ACH Single,Income
Deposit from Charlies Checking Account XXXXXXX1111,Income
Monthly Interest Paid,Income
Deposit from HSA BANK PLAN DISTR ERIC ZACHARIA,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VERIZON PAYMENTREC,Utility
Deposit from NETFLIX PAY 543414,Income
Monthly Interest Paid,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from Charlies Checking Account XXXXXXX1111,Income
Deposit from NETFLIX PAY 456462,Income
Withdrawal from CHASE CREDIT CRD EPAY,Income
Deposit from 360 Checking XXXXXXX2222,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Monthly Interest Paid,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from GOOGLE DIRECT DEP,Income
Deposit from HSA BANK PLAN DISTR ERIC ZACHARIA,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
"ATM Withdrawal - PAI ISO TN93545 MACKINAC ISLA, MI",Transfer
Check Deposit (Mobile),Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from Megans Checking Account XXXXXXX2222,Income
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from NETFLIX PAY 456462,Income
Withdrawal from CHASE CREDIT CRD EPAY,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Monthly Interest Paid,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from NETFLIX PAY 456462,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Monthly Interest Paid,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from Charlies Checking Account XXXXXXX1111,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from VENMO CASHOUT,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from GOOGLE DIRECT DEP,Income
Birthday - Check Deposit (Mobile),Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Check Deposit (Mobile),Income
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Deposit from VENMO CASHOUT,Income
Law Order - Check Deposit (Mobile),Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from VENMO CASHOUT,Income
Check Deposit (Mobile),Income
Deposit from VENMO CASHOUT,Income
Monthly Interest Paid,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Monthly Interest Paid,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from NETFLIX ACH Single,Income
Deposit from VENMO CASHOUT,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Law Order - Check Deposit (Mobile),Income
Withdrawal from VENMO PAYMENT,P2P Expense
Monthly Interest Paid,Income
Withdrawal to CD XXXXXXX3423,Transfer
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Deposit from VENMO CASHOUT,Income
Withdrawal from CAPITAL ONE CRCARDPMT,Transfer
Monthly Interest Paid,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from 360 Checking XXXXXXX2222,Income
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from CHASE CREDIT CRD EPAY,Income
Deposit from NETFLIX PAY 456462,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VENMO PAYMENT,P2P Expense
Deposit from Charlies Checking Account XXXXXXX1111,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Monthly Interest Paid,Income
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Deposit from Charlies Checking Account XXXXXXX1111,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Withdrawal to Charlies Checking Account XXXXXXX1111,Transfer
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from VANGUARD BUY INVESTMENT,Transfer
Deposit from NETFLIX PAY 456462,Income
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
Withdrawal from VENMO PAYMENT,P2P Expense
Withdrawal from CAPITAL ONE MOBILE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from CAPITAL ONE ONLINE PMT,Transfer
Withdrawal from VERIZON PAYMENTREC,Utility
